Run,BioSample,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,lat_lon
SRR23106203,SAMN32778013,SRX19057805,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106229,SAMN32777989,SRX19057779,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E 
SRR23106230,SAMN32777988,SRX19057778,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106234,SAMN32777985,SRX19057774,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106238,SAMN32777981,SRX19057770,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106245,SAMN32777975,SRX19057763,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106247,SAMN32777973,SRX19057761,India,Asia,"India: Karnataka\, MAHE",Homo sapiens,15.31 N 75.71 E
SRR23106308,SAMN32778066,SRX19057700,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106310,SAMN32778065,SRX19057698,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106313,SAMN32778062,SRX19057695,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106314,SAMN32778061,SRX19057694,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E 
SRR23106317,SAMN32778058,SRX19057691,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106322,SAMN32778054,SRX19057686,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106324,SAMN32778052,SRX19057684,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106325,SAMN32778051,SRX19057683,India,Asia,"India: Telangana\, Gandhi Medical College",Homo sapiens,18.11 N 79.01 E
SRR23106330,SAMN32778046,SRX19057678,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106331,SAMN32777938,SRX19057677,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106346,SAMN32777958,SRX19057662,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106351,SAMN32777954,SRX19057657,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106353,SAMN32777952,SRX19057655,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",Homo sapiens,21.27 N 81.86 E
SRR23106360,SAMN32778085,SRX19057648,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106361,SAMN32778084,SRX19057647,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106362,SAMN32778083,SRX19057646,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106363,SAMN32778082,SRX19057645,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106364,SAMN32778081,SRX19057644,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106365,SAMN32778080,SRX19057643,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106366,SAMN32778079,SRX19057642,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106367,SAMN32778078,SRX19057641,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106368,SAMN32778077,SRX19057640,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106369,SAMN32778076,SRX19057639,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106371,SAMN32778075,SRX19057637,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
SRR23106372,SAMN32778074,SRX19057636,India,Asia,"India: New Delhi\, Safdarjung Hospital",Homo sapiens,28.61 N 77.20 E
