Run,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,lat_lon
SRR23106203,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106229,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E 
SRR23106230,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106234,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106238,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106245,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106247,India,Asia,"India: Karnataka\, MAHE",15.31 N 75.71 E
SRR23106308,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106310,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106313,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106314,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E 
SRR23106317,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106322,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106324,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106325,India,Asia,"India: Telangana\, Gandhi Medical College",18.11 N 79.01 E
SRR23106330,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106331,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106346,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106351,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106353,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106360,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106361,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106362,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106363,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106364,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106365,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106366,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106367,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106368,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106369,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106371,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106372,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106373,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106375,India,Asia,"India: New Delhi\, Safdarjung Hospital",28.61 N 77.20 E
SRR23106397,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR23106238,India,Asia,"India: Chattisgarh\, Jan Swasthya Sahyog",21.27 N 81.86 E
SRR26235461,India,Asia,India: Indore,22.68 N 76.05 E
SRR26235462,India,Asia,India: Indore,22.68 N 76.05 E
SRR16182080,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182084,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182086,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182088,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182091,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182092,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182095,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR16182096,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR17520944,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR15861865,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR15861866,India,Asia,India: Kolkata,22.53 N 88.34 E
SRR23034579,India,Asia,India:Tamilnadu,13.08 N 80.18 E
SRR23047205,India,Asia,India:Tamilnadu,13.08 N 80.18 E
ERR4919986,India,Asia,India,22.0 N 88.0 E
ERR4919987,India,Asia,India,22.0 N 88.0 E
ERR4919988,India,Asia,India,22.0 N 88.0 E
SRR6207757,India,Asia,"India:Assam\,Guwahati",26.14 N 91.73 E
SRR11348773,India,Asia,India: Vellore,12.91 N 79.13 E
SRR11348774,India,Asia,India: Vellore,12.91 N 79.13 E
SRR11348775,India,Asia,India: Vellore,12.91 N 79.13 E
SRR11348776,India,Asia,India: Vellore,12.91 N 79.13 E
SRR11348781,India,Asia,India: Vellore,12.91 N 79.13 E
