NAME,Aminoglycosides,Carbapenems,Cephalosporins (3rd gen.),Cephalosporins (3rd gen.) + β-lactamase inhibitors,Colistin,Fluoroquinolones,Fosfomycin,Penicillins,Penicillins + β-lactamase inhibitors,Phenicols,Sulfonamides,Tetracycline,Tigecycline,Trimethoprim
ERR4784082,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785075,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784374,1,1,1,0,0,1,0,1,0,1,0,0,0,0
ERR4635724,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784235,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785041,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784282,1,1,0,0,1,1,0,1,0,1,0,0,0,0
ERR4784387,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784829,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784287,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784355,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784089,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785107,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784260,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635772,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4785110,1,1,0,0,0,1,0,1,0,1,1,1,0,1
ERR4784462,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4635740,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784107,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784417,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162556,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SRR8859429,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784922,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162594,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162602,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784358,1,1,1,0,0,1,0,1,0,1,1,0,0,0
ERR4784921,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784761,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR3162606,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784065,1,0,1,0,0,1,0,1,0,0,1,1,0,1
ERR4785060,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784824,1,1,0,0,0,1,0,1,0,1,1,0,0,1
ERR4784268,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4784858,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4785116,1,1,1,0,0,1,0,1,0,0,1,0,0,1
ERR4784994,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4785011,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784161,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784388,1,0,1,0,0,1,0,1,0,1,0,1,0,0
ERR4785071,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR4784800,1,1,0,0,0,1,0,1,0,0,0,0,0,0
ERR4784842,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162564,1,0,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784705,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR3162618,1,1,1,0,0,1,0,1,0,1,1,0,0,1
ERR3162621,1,1,1,0,0,1,0,1,0,1,1,1,0,1
ERR4784811,1,1,1,0,0,1,0,1,0,1,0,0,0,1
ERR4785118,1,1,1,0,0,1,0,1,0,1,1,0,0,1
